%time Input_Analog Output_Analog
7.7954e-06 -3.24332160519 -1.90492835973
7.7955e-06 -3.24328333501 -1.90501200549
7.7956e-06 -3.24324505204 -1.90509564364
7.7957e-06 -3.24320675625 -1.90517927417
7.7958e-06 -3.24316844767 -1.90526289708
7.7959e-06 -3.24313012628 -1.90534651236
7.796e-06 -3.24309179209 -1.90543012003
7.7961e-06 -3.24305344509 -1.90551372007
7.7962e-06 -3.2430150853 -1.90559731249
7.7963e-06 -3.2429767127 -1.90568089729
7.7964e-06 -3.24293832729 -1.90576447447
7.7965e-06 -3.24289992909 -1.90584804403
7.7966e-06 -3.24286151808 -1.90593160596
7.7967e-06 -3.24282309427 -1.90601516026
7.7968e-06 -3.24278465765 -1.90609870695
7.7969e-06 -3.24274620824 -1.90618224601
7.797e-06 -3.24270774602 -1.90626577744
7.7971e-06 -3.242669271 -1.90634930125
7.7972e-06 -3.24263078318 -1.90643281744
7.7973e-06 -3.24259228256 -1.906516326
7.7974e-06 -3.24255376914 -1.90659982693
7.7975e-06 -3.24251524291 -1.90668332024
7.7976e-06 -3.24247670389 -1.90676680592
7.7977e-06 -3.24243815206 -1.90685028398
7.7978e-06 -3.24239958744 -1.90693375441
7.7979e-06 -3.24236101001 -1.90701721721
7.798e-06 -3.24232241978 -1.90710067238
7.7981e-06 -3.24228381675 -1.90718411993
7.7982e-06 -3.24224520093 -1.90726755984
7.7983e-06 -3.2422065723 -1.90735099213
7.7984e-06 -3.24216793087 -1.90743441679
7.7985e-06 -3.24212927665 -1.90751783382
7.7986e-06 -3.24209060962 -1.90760124322
7.7987e-06 -3.2420519298 -1.90768464499
7.7988e-06 -3.24201323717 -1.90776803913
7.7989e-06 -3.24197453175 -1.90785142564
7.799e-06 -3.24193581353 -1.90793480452
7.7991e-06 -3.2418970825 -1.90801817577
7.7992e-06 -3.24185833869 -1.90810153938
7.7993e-06 -3.24181958207 -1.90818489537
7.7994e-06 -3.24178081265 -1.90826824372
7.7995e-06 -3.24174203044 -1.90835158444
7.7996e-06 -3.24170323543 -1.90843491752
7.7997e-06 -3.24166442762 -1.90851824298
7.7998e-06 -3.24162560701 -1.9086015608
7.7999e-06 -3.24158677361 -1.90868487098
7.8e-06 -3.2415479274 -1.90876817353
7.8001e-06 -3.24150906841 -1.90885146845
7.8002e-06 -3.24147019661 -1.90893475573
7.8003e-06 -3.24143131202 -1.90901803538
7.8004e-06 -3.24139241463 -1.90910130739
7.8005e-06 -3.24135350444 -1.90918457177
7.8006e-06 -3.24131458146 -1.90926782851
7.8007e-06 -3.24127564568 -1.90935107761
7.8008e-06 -3.24123669711 -1.90943431908
7.8009e-06 -3.24119773574 -1.90951755291
7.801e-06 -3.24115876157 -1.9096007791
7.8011e-06 -3.24111977461 -1.90968399766
7.8012e-06 -3.24108077485 -1.90976720858
7.8013e-06 -3.2410417623 -1.90985041185
7.8014e-06 -3.24100273695 -1.90993360749
7.8015e-06 -3.24096369881 -1.9100167955
7.8016e-06 -3.24092464787 -1.91009997586
7.8017e-06 -3.24088558414 -1.91018314858
7.8018e-06 -3.24084650762 -1.91026631366
7.8019e-06 -3.2408074183 -1.9103494711
7.802e-06 -3.24076831618 -1.9104326209
7.8021e-06 -3.24072920127 -1.91051576307
7.8022e-06 -3.24069007357 -1.91059889758
7.8023e-06 -3.24065093307 -1.91068202446
7.8024e-06 -3.24061177978 -1.9107651437
7.8025e-06 -3.2405726137 -1.91084825529
7.8026e-06 -3.24053343482 -1.91093135924
7.8027e-06 -3.24049424315 -1.91101445555
7.8028e-06 -3.24045503869 -1.91109754422
7.8029e-06 -3.24041582143 -1.91118062524
7.803e-06 -3.24037659139 -1.91126369862
7.8031e-06 -3.24033734855 -1.91134676435
7.8032e-06 -3.24029809291 -1.91142982244
7.8033e-06 -3.24025882449 -1.91151287288
7.8034e-06 -3.24021954327 -1.91159591568
7.8035e-06 -3.24018024926 -1.91167895084
7.8036e-06 -3.24014094246 -1.91176197834
7.8037e-06 -3.24010162287 -1.91184499821
7.8038e-06 -3.24006229048 -1.91192801042
7.8039e-06 -3.24002294531 -1.91201101499
7.804e-06 -3.23998358734 -1.91209401191
7.8041e-06 -3.23994421658 -1.91217700119
7.8042e-06 -3.23990483304 -1.91225998281
7.8043e-06 -3.2398654367 -1.91234295679
7.8044e-06 -3.23982602757 -1.91242592312
7.8045e-06 -3.23978660565 -1.91250888181
7.8046e-06 -3.23974717094 -1.91259183284
7.8047e-06 -3.23970772344 -1.91267477622
7.8048e-06 -3.23966826315 -1.91275771196
7.8049e-06 -3.23962879007 -1.91284064004
7.805e-06 -3.2395893042 -1.91292356048
7.8051e-06 -3.23954980555 -1.91300647326
7.8052e-06 -3.2395102941 -1.91308937839
7.8053e-06 -3.23947076986 -1.91317227587
7.8054e-06 -3.23943123284 -1.9132551657
7.8055e-06 -3.23939168302 -1.91333804788
7.8056e-06 -3.23935212042 -1.91342092241
7.8057e-06 -3.23931254503 -1.91350378928
7.8058e-06 -3.23927295685 -1.9135866485
7.8059e-06 -3.23923335588 -1.91366950007
7.806e-06 -3.23919374213 -1.91375234399
7.8061e-06 -3.23915411558 -1.91383518025
7.8062e-06 -3.23911447625 -1.91391800885
7.8063e-06 -3.23907482413 -1.9140008298
7.8064e-06 -3.23903515923 -1.9140836431
7.8065e-06 -3.23899548153 -1.91416644874
7.8066e-06 -3.23895579105 -1.91424924673
7.8067e-06 -3.23891608779 -1.91433203706
7.8068e-06 -3.23887637173 -1.91441481974
7.8069e-06 -3.23883664289 -1.91449759475
7.807e-06 -3.23879690127 -1.91458036212
7.8071e-06 -3.23875714685 -1.91466312182
7.8072e-06 -3.23871737965 -1.91474587387
7.8073e-06 -3.23867759967 -1.91482861826
7.8074e-06 -3.2386378069 -1.91491135499
7.8075e-06 -3.23859800134 -1.91499408407
7.8076e-06 -3.238558183 -1.91507680548
7.8077e-06 -3.23851835187 -1.91515951924
7.8078e-06 -3.23847850796 -1.91524222534
7.8079e-06 -3.23843865126 -1.91532492377
7.808e-06 -3.23839878178 -1.91540761455
7.8081e-06 -3.23835889951 -1.91549029767
7.8082e-06 -3.23831900446 -1.91557297313
7.8083e-06 -3.23827909663 -1.91565564092
7.8084e-06 -3.23823917601 -1.91573830106
7.8085e-06 -3.2381992426 -1.91582095353
7.8086e-06 -3.23815929642 -1.91590359834
7.8087e-06 -3.23811933744 -1.91598623549
7.8088e-06 -3.23807936569 -1.91606886498
7.8089e-06 -3.23803938115 -1.91615148681
7.809e-06 -3.23799938383 -1.91623410097
7.8091e-06 -3.23795937372 -1.91631670747
7.8092e-06 -3.23791935083 -1.9163993063
7.8093e-06 -3.23787931516 -1.91648189747
7.8094e-06 -3.23783926671 -1.91656448098
7.8095e-06 -3.23779920547 -1.91664705682
7.8096e-06 -3.23775913146 -1.916729625
7.8097e-06 -3.23771904466 -1.91681218551
7.8098e-06 -3.23767894507 -1.91689473835
7.8099e-06 -3.23763883271 -1.91697728353
7.81e-06 -3.23759870756 -1.91705982105
7.8101e-06 -3.23755856964 -1.9171423509
7.8102e-06 -3.23751841893 -1.91722487308
7.8103e-06 -3.23747825544 -1.91730738759
7.8104e-06 -3.23743807917 -1.91738989443
7.8105e-06 -3.23739789011 -1.91747239361
7.8106e-06 -3.23735768828 -1.91755488512
7.8107e-06 -3.23731747367 -1.91763736896
7.8108e-06 -3.23727724627 -1.91771984513
7.8109e-06 -3.2372370061 -1.91780231364
7.811e-06 -3.23719675315 -1.91788477447
7.8111e-06 -3.23715648741 -1.91796722763
7.8112e-06 -3.2371162089 -1.91804967313
7.8113e-06 -3.2370759176 -1.91813211095
7.8114e-06 -3.23703561353 -1.9182145411
7.8115e-06 -3.23699529668 -1.91829696358
7.8116e-06 -3.23695496705 -1.91837937839
7.8117e-06 -3.23691462464 -1.91846178553
7.8118e-06 -3.23687426945 -1.918544185
7.8119e-06 -3.23683390148 -1.91862657679
7.812e-06 -3.23679352073 -1.91870896091
7.8121e-06 -3.23675312721 -1.91879133736
7.8122e-06 -3.23671272091 -1.91887370614
7.8123e-06 -3.23667230183 -1.91895606724
7.8124e-06 -3.23663186997 -1.91903842067
7.8125e-06 -3.23659142533 -1.91912076642
7.8126e-06 -3.23655096792 -1.9192031045
7.8127e-06 -3.23651049773 -1.9192854349
7.8128e-06 -3.23647001476 -1.91936775763
7.8129e-06 -3.23642951901 -1.91945007269
7.813e-06 -3.23638901049 -1.91953238006
7.8131e-06 -3.23634848919 -1.91961467976
7.8132e-06 -3.23630795511 -1.91969697179
7.8133e-06 -3.23626740826 -1.91977925614
7.8134e-06 -3.23622684863 -1.91986153281
7.8135e-06 -3.23618627623 -1.9199438018
7.8136e-06 -3.23614569105 -1.92002606312
7.8137e-06 -3.23610509309 -1.92010831675
7.8138e-06 -3.23606448236 -1.92019056271
7.8139e-06 -3.23602385885 -1.92027280099
7.814e-06 -3.23598322257 -1.9203550316
7.8141e-06 -3.23594257351 -1.92043725452
7.8142e-06 -3.23590191168 -1.92051946976
7.8143e-06 -3.23586123707 -1.92060167732
7.8144e-06 -3.23582054969 -1.92068387721
7.8145e-06 -3.23577984953 -1.92076606941
7.8146e-06 -3.2357391366 -1.92084825393
7.8147e-06 -3.23569841089 -1.92093043077
7.8148e-06 -3.23565767241 -1.92101259992
7.8149e-06 -3.23561692116 -1.9210947614
7.815e-06 -3.23557615713 -1.92117691519
